y88huang/claude-desktop-buddy-cardputer	https://github.com/y88huang/claude-desktop-buddy-cardputer	12	2	2026-04-22T06:02:10Z	main	Tamagotchi-style desk pet for Claude Code on the M5Stack Cardputer ADV. Physical permission approvals, 20 ASCII pets, custom GIFs, 8-bit SFX, BLE.
imliubo/claude-desktop-buddy	https://github.com/imliubo/claude-desktop-buddy	7	3	2026-05-21T08:29:30Z	main	Reference and an example for the Bluetooth API for makers in Claude Cowork & Claude Code Desktop
openalchemy/claude-desktop-buddy-s3	https://github.com/openalchemy/claude-desktop-buddy-s3	5	1	2026-04-18T13:00:17Z	main	Unofficial M5StickC Plus S3 (ESP32-S3) port of anthropics/claude-desktop-buddy — BLE bridge firmware that shows Claude Code / Claude Cowork permission prompts and session activity on your desk.
jdperich/claude-desktop-buddy-cyd	https://github.com/jdperich/claude-desktop-buddy-cyd	3	0	2026-05-20T17:08:04Z	main	ESP32 CYD (ESP32-2432S028R) fork of claude-desktop-buddy
NomenAK/claude-desktop-buddy	https://github.com/NomenAK/claude-desktop-buddy	2	0	2026-04-16T23:25:07Z	main	Reference and an example for the Bluetooth API for makers in Claude Cowork & Claude Code Desktop
james20141606/claude-code-physical-buddy	https://github.com/james20141606/claude-code-physical-buddy	2	0	2026-05-01T00:01:46Z	main	Reference and an example for the Bluetooth API for makers in Claude Cowork & Claude Code Desktop
openelab-commits/codex-desktop-buddy	https://github.com/openelab-commits/codex-desktop-buddy	2	0	2026-05-21T03:23:19Z	main	Show Codex usage and GIF behaviors playback 
knottttt/claude-buddy-serial-port	https://github.com/knottttt/claude-buddy-serial-port	2	0	2026-04-23T10:00:03Z	main	Reference and an example for the Bluetooth API for makers in Claude Cowork & Claude Code Desktop
JuliaZakharova/claude-desktop-buddy	https://github.com/JuliaZakharova/claude-desktop-buddy	1	0	2026-04-16T23:25:07Z	main	Reference and an example for the Bluetooth API for makers in Claude Cowork & Claude Code Desktop
liunix61/claude-desktop-buddy	https://github.com/liunix61/claude-desktop-buddy	1	0	2026-04-16T23:25:07Z	main	Reference and an example for the Bluetooth API for makers in Claude Cowork & Claude Code Desktop
kent666/claude-desktop-buddy	https://github.com/kent666/claude-desktop-buddy	1	0	2026-04-16T23:25:07Z	main	Reference and an example for the Bluetooth API for makers in Claude Cowork & Claude Code Desktop
Miranda-2000/claude-desktop-buddy	https://github.com/Miranda-2000/claude-desktop-buddy	1	0	2026-04-16T23:25:07Z	main	Reference and an example for the Bluetooth API for makers in Claude Cowork & Claude Code Desktop.  ［Claude Cowork和Claude Code Desktop中製造商的藍芽API的參考和示例。 ］
haroontrailblazer/claude-desktop-buddy	https://github.com/haroontrailblazer/claude-desktop-buddy	1	0	2026-04-16T23:25:07Z	main	Reference and an example for the Bluetooth API for makers in Claude Cowork & Claude Code Desktop
shaboooooozy1/claude-desktop-buddy	https://github.com/shaboooooozy1/claude-desktop-buddy	1	0	2026-04-16T23:25:07Z	main	Reference and an example for the Bluetooth API for makers in Claude Cowork & Claude Code Desktop
stonexer/claude-desktop-buddy-JC3636	https://github.com/stonexer/claude-desktop-buddy-JC3636	1	0	2026-04-19T13:18:26Z	main	Reference and an example for the Bluetooth API for makers in Claude Cowork & Claude Code Desktop
